fold,method,target_mode,n_train,n_test,test_subjects,x_dim,y_dim,n_components,latent_corr_mean,latent_corr_median,row_corr_mean,row_corr_median,r2,retrieval_top1,retrieval_top5,retrieval_mrr,retrieval_median_rank,retrieval_rank_percentile_mean,diag_minus_offdiag
2,ridge,real,3426,1929,within_run_block_2,128,64,0,-0.016231590849201893,-0.021266584284603596,-0.007778696107666935,-0.005159279797226191,-0.013536834746098902,0.01347848626231208,0.0705028512182478,0.06311493699027125,43.0,0.512655707492275,0.006632893829127987
2,pls,real,3426,1929,within_run_block_2,128,64,16,-0.00788429254816947,-0.012543461751192808,-0.01049704852710348,-0.01963804103434086,-0.02586785216933074,0.008812856402280975,0.052358735095904614,0.05368527904070296,46.0,0.49045925199092827,-0.0055191877086307765
2,cca_shared,real,3426,1929,within_run_block_2,128,64,16,-0.018487771645595785,-0.016625543124973774,-0.014029984191127236,-0.01659228466451168,-1.146187754684552,0.00829445308449974,0.05184033177812338,0.05416489450713701,45.0,0.4932510328598963,-0.003897890738194537
2,ridge,shifted_null,3426,1929,within_run_block_2,128,64,0,0.005921933259742218,0.004153034649789333,0.0011686779506170995,-0.001690599718131125,-0.013095741505519065,0.012441679626749611,0.05391394504924832,0.056119644102798516,45.0,0.4959049168907852,-0.004544635474889261
2,pls,shifted_null,3426,1929,within_run_block_2,128,64,16,0.0004301803064663545,0.0008380981162190437,-0.011103166058843105,-0.014637074433267117,-0.032076982809158494,0.00829445308449974,0.04613789528252981,0.05209309563144592,46.0,0.48602152621902034,-0.010566651728592662
2,cca_shared,shifted_null,3426,1929,within_run_block_2,128,64,16,0.007537549367043539,0.007453037658706307,0.0010650359881289127,0.0006205293466337025,-1.040981108251787,0.009849663037843442,0.06376360808709176,0.05793697930266557,43.0,0.5025046538296003,0.0010032823193615115
3,train_mean,real,3408,1959,within_run_block_3,128,64,0,nan,nan,nan,nan,-0.0006054600983407266,0.0,0.0,0.02220708866243088,48.5,0.5,0.0
3,time_ridge,real,3408,1959,within_run_block_3,15,64,0,-0.0030940887590986677,-0.0012071673409081995,-0.015028607239655907,-0.02360428124666214,-0.010397449507502543,0.00816743236345074,0.04849412965798877,0.05177504386543701,48.0,0.48327142121477057,-0.022666997589011122
3,ridge,real,3408,1959,within_run_block_3,128,64,0,-0.017719068130929827,-0.01561719086021185,-0.017634881258638047,-0.017243819311261177,-0.013914288802320263,0.010719754977029096,0.055640632976008166,0.055820806793547256,45.0,0.49859747029783347,-0.0011320131914097605
3,pls,real,3408,1959,within_run_block_3,128,64,16,-0.0023338495416282967,0.0020435044425539672,0.004186818932599276,-0.00509691284969449,-0.021802350271593607,0.01225114854517611,0.059213884635017866,0.059238220033692474,45.0,0.503973228672353,0.009195485576300844
3,cca_shared,real,3408,1959,within_run_block_3,128,64,16,-0.006386896611729753,-0.004249476594850421,-0.006644776755242193,-0.004439288750290871,-1.1413605104396116,0.011230219499744768,0.05615109749872384,0.05788521254870348,44.0,0.5132192753784097,0.011856299910500745
3,ridge,shifted_null,3408,1959,within_run_block_3,128,64,0,0.0030395553812923026,0.001650651713134721,0.002939164839753927,0.005415088962763548,-0.011531648846956344,0.014293006636038795,0.06125574272588055,0.059537779424338175,45.0,0.4954193542635189,-0.010358939641114959
3,pls,shifted_null,3408,1959,within_run_block_3,128,64,16,0.003180404351951438,0.0007931880827527493,0.001579613857680928,-0.00012458499986678362,-0.029906947493626657,0.010209290454313425,0.055640632976008166,0.05578775649206555,45.0,0.49746725390590696,-0.008795191665252966
3,cca_shared,shifted_null,3408,1959,within_run_block_3,128,64,16,0.00010813484186655842,0.0012301129463594407,-0.0026212125915585378,0.0004853941791225225,-1.070562963893527,0.010719754977029096,0.05666156202143951,0.05458348239263968,46.0,0.4884442808156741,-0.010649385951607145
