dataset,fold,model,n_train,n_test,test_subjects,roi_corr_mean,roi_corr_median,roi_corr_positive_frac,spatial_corr_mean,spatial_corr_median,r2_uniform,r2_variance_weighted
gradCPT_simultaneous_EEG_fMRI_DTI_OpenNeuro_ds006040,3,eeg_bandpower_ridge,2051,949,sub-002 sub-005 sub-010 sub-011 sub-015 sub-016 sub-021 sub-023 sub-028,0.004098137286200653,0.0026533101918175817,0.54,0.004904386593732678,-5.472083103086334e-06,-0.6583927273750305,-0.6580612659454346
gradCPT_simultaneous_EEG_fMRI_DTI_OpenNeuro_ds006040,3,eeg_bandpower_shifted_null,2051,949,sub-002 sub-005 sub-010 sub-011 sub-015 sub-016 sub-021 sub-023 sub-028,0.0030530086005455814,0.0021765706478618085,0.51,0.013713429354891357,0.021435322239995003,-0.8134323954582214,-0.8132667541503906
natview,1,train_mean,1910,1090,sub-05 sub-06 sub-08 sub-11 sub-13 sub-17 sub-18 sub-19,1.0125869165378275e-09,1.3050170666328853e-09,0.29,-0.0026509539055992602,-0.0004394692223286256,-0.00042667865636758506,-0.0004261877911631018
natview,1,time_ridge,1910,1090,sub-05 sub-06 sub-08 sub-11 sub-13 sub-17 sub-18 sub-19,0.023737489618360995,0.024823209270834923,0.88,0.0005405484831148605,0.002664792933501303,2.3753642381052487e-05,2.7001653506886214e-05
natview,1,eeg_bandpower_ridge,1910,1090,sub-05 sub-06 sub-08 sub-11 sub-13 sub-17 sub-18 sub-19,0.01329371792220627,0.015854632947593927,0.77,-0.002035625801750655,-0.0013247223105281591,-11.058784484863281,-11.048300743103027
natview,1,eeg_bandpower_shifted_null,1910,1090,sub-05 sub-06 sub-08 sub-11 sub-13 sub-17 sub-18 sub-19,0.002859731546959665,0.003123848815448582,0.56,0.0023688400455284865,-0.004004467627964914,-8.970888137817383,-8.98192024230957
natview,2,train_mean,2045,955,sub-01 sub-02 sub-03 sub-07 sub-12 sub-16 sub-22,-1.6830911828065063e-09,-2.006891985928405e-09,0.31,0.00015737172392933234,-0.004968831315636635,-0.0023877585772424936,-0.0023902931716293097
natview,2,time_ridge,2045,955,sub-01 sub-02 sub-03 sub-07 sub-12 sub-16 sub-22,0.023663879906525836,0.024670432321727276,0.91,-0.0006002211394714903,-0.0019417456351220608,-0.001968757016584277,-0.0019676710944622755
natview,2,eeg_bandpower_ridge,2045,955,sub-01 sub-02 sub-03 sub-07 sub-12 sub-16 sub-22,0.0015758951738825998,0.0019510492566041648,0.56,0.007193519680727888,0.012185744941234589,-3.058509588241577,-3.05637526512146
natview,2,eeg_bandpower_shifted_null,2045,955,sub-01 sub-02 sub-03 sub-07 sub-12 sub-16 sub-22,0.011667191023007036,0.010955170262604952,0.83,0.005297582838757461,0.0055451830849051476,-5.146733283996582,-5.14394474029541
natview,3,train_mean,2045,955,sub-04 sub-09 sub-10 sub-14 sub-15 sub-20 sub-21,1.0695102047576255e-09,9.948143420146494e-10,0.41,-0.004049732955774543,-0.00011436128261266276,-0.0025040197651833296,-0.0025079394690692425
natview,3,time_ridge,2045,955,sub-04 sub-09 sub-10 sub-14 sub-15 sub-20 sub-21,0.047351801707409324,0.042682334780693054,0.96,-0.0029979587769524696,-0.0024920140858739614,-0.002361785154789686,-0.002366037340834737
natview,3,eeg_bandpower_ridge,2045,955,sub-04 sub-09 sub-10 sub-14 sub-15 sub-20 sub-21,-0.007508252445259132,-0.009245741181075573,0.31,-0.0017578907269973512,0.0010322349844500422,-4.8883256912231445,-4.865103244781494
natview,3,eeg_bandpower_shifted_null,2045,955,sub-04 sub-09 sub-10 sub-14 sub-15 sub-20 sub-21,-0.002007490106543628,-0.002544279210269451,0.41,0.007816287203865532,0.010866379365324974,-10.040961265563965,-10.041302680969238
