fold,method,target_mode,n_train,n_test,y_dim,context_steps,target_corr_mean,target_corr_median,row_corr_mean,row_corr_median,r2,retrieval_top1,retrieval_top5,retrieval_mrr,retrieval_median_rank,retrieval_rank_percentile_mean,diag_minus_offdiag,dataset_name,calib_frac,n_calib_seq
2,time_residual_mean,calib0_time_resid,3322,810,32,16,-3.011215967932104e-10,1.5206889081298414e-09,-0.0011644995933036424,0.0027555443812161684,-0.00027590773645291833,0.007407407407407408,0.037037037037037035,0.040638441293296634,68.0,0.5,-1.4456028966473392e-19,xp2,0.0,0
3,real_eeg_ridge,calib0,3624,675,32,16,-0.004310244527005125,0.005184877896681428,0.0005243911480324136,0.008781170472502708,-2.273740089016521,0.007407407407407408,0.04888888888888889,0.044751088520680986,67.0,0.5010171365395246,0.0009882595960908854,xp2,0.0,0
3,shifted_null_ridge,calib0,3624,675,32,16,-0.005803974359878339,-0.006746379192918539,-0.04348273588620402,-0.022721419110894203,-2.8013199516574288,0.007407407407407408,0.03851851851851852,0.04037176814078572,70.0,0.49028192371475954,-0.014482918938379264,xp2,0.0,0
3,time_only_ridge,calib0,3624,675,32,16,0.01652804460536572,0.02746449690312147,0.046351796236445406,0.041777562350034714,-0.0020385534058970922,0.007407407407407408,0.03111111111111111,0.03937647744712188,65.0,0.517788833609729,0.026161529522978576,xp2,0.0,0
3,train_mean,calib0,3624,675,32,16,3.4154133299324483e-09,1.2570343654871863e-09,0.036983170916792006,0.037020809948444366,-0.0008015072781866195,0.007407407407407408,0.037037037037037035,0.04063844129329664,68.0,0.5,-2.0816681711721684e-18,xp2,0.0,0
3,time_residual_eeg_ridge,calib0_time_resid,3624,675,32,16,-0.004229951497109141,0.005919651826843619,0.0017658946942538023,-0.005047950427979231,-2.1060006580915904,0.0044444444444444444,0.045925925925925926,0.042151378063122115,68.0,0.508579325594251,0.006630871001339978,xp2,0.0,0
3,time_residual_shifted_null,calib0_time_resid,3624,675,32,16,-0.008579851340073219,-0.0033807442378019914,-0.020568390884479783,-0.023662596940994263,-2.2955824902894206,0.005925925925925926,0.02962962962962963,0.036567984225760373,70.0,0.4870978441127695,-0.011206504935904738,xp2,0.0,0
3,time_residual_mean,calib0_time_resid,3624,675,32,16,4.776957940322291e-09,-2.9543922863695116e-10,-0.008934203792547729,0.012514906004071236,-0.00022501885255299392,0.007407407407407408,0.037037037037037035,0.040638441293296634,68.0,0.5,-1.2143064331837649e-18,xp2,0.0,0
1,real_eeg_ridge,calib0.1,3502,810,32,16,0.007544111258539488,0.0032478913199156523,0.0121196591388003,0.004190592095255852,-0.5509456891558957,0.007407407407407408,0.04567901234567901,0.045219527114035915,68.0,0.505629261101898,0.007128555050678873,xp2,0.1,180
1,shifted_null_ridge,calib0.1,3502,810,32,16,0.001135353602876421,0.0029168963665142655,-0.0046673272071653445,0.020976155065000057,-0.7650346638950636,0.0049382716049382715,0.037037037037037035,0.037931063908142965,66.0,0.5084484982494932,0.008988497519833792,xp2,0.1,180
1,time_only_ridge,calib0.1,3502,810,32,16,0.01553201398201054,0.013000245671719313,0.05637202944820689,0.06185233220458031,-0.0012350324122107903,0.008641975308641974,0.027160493827160494,0.039377077905953906,63.0,0.5167219458264234,0.028785173895200928,xp2,0.1,180
1,train_mean,calib0.1,3502,810,32,16,1.602844627394499e-09,2.3816046912372713e-09,0.06281980383871906,0.06775040924549103,-0.0003023898873464326,0.007407407407407408,0.037037037037037035,0.04063844129329663,68.0,0.5,-1.1564823173178713e-18,xp2,0.1,180
1,time_residual_eeg_ridge,calib0.1_time_resid,3502,810,32,16,0.005575893481363892,0.0013192885089665651,0.019333205226072927,0.0031543115619570017,-0.5713755964080081,0.007407407407407408,0.05185185185185185,0.04687789647677374,70.0,0.5068454026165469,0.009787415531745175,xp2,0.1,180
1,time_residual_shifted_null,calib0.1_time_resid,3502,810,32,16,-0.0018039083162193492,-0.0012088834191672504,-0.015522275032259288,-0.010883483570069075,-0.8787258059938854,0.009876543209876543,0.03827160493827161,0.04119280801876924,68.0,0.4945642159572508,-0.0035800631168177847,xp2,0.1,180
1,time_residual_mean,calib0.1_time_resid,3502,810,32,16,-3.5782125747245304e-09,4.156943678168545e-09,0.002588324616002034,-0.00925567140802741,-0.0007665275993342657,0.007407407407407408,0.037037037037037035,0.04063844129329663,68.0,0.5,1.5901631863120731e-18,xp2,0.1,180
2,real_eeg_ridge,calib0.1,3502,810,32,16,-0.011795789760071784,-0.006548728095367551,-0.0002842319120522186,0.008874901570379734,-0.531537837788145,0.009876543209876543,0.03580246913580247,0.041836508073723584,65.0,0.5065321540445918,0.007561728253715684,xp2,0.1,180
2,shifted_null_ridge,calib0.1,3502,810,32,16,-0.002280288401834696,0.0014195783805917017,0.0429754239214544,0.0496139544993639,-0.6565595543149567,0.0024691358024691358,0.0345679012345679,0.03731936907677992,67.0,0.5100792334623181,0.005235540560166882,xp2,0.1,180
2,time_only_ridge,calib0.1,3502,810,32,16,0.021312407652658294,0.022193451412022114,0.04935470088298812,0.04358294792473316,0.0005163186331365033,0.008641975308641974,0.03827160493827161,0.04238992364656715,62.0,0.5240464344941957,0.030961273554070565,xp2,0.1,180
2,train_mean,calib0.1,3502,810,32,16,-4.68130017554424e-09,-4.5348698129998866e-09,-2.1321005381954212e-05,0.005907593062147498,-0.0003286090428555877,0.007407407407407408,0.037037037037037035,0.040638441293296634,68.0,0.5,-7.950815931560366e-19,xp2,0.1,180
2,time_residual_eeg_ridge,calib0.1_time_resid,3502,810,32,16,-0.012519047474597755,-0.006262335926294327,0.007233222864890173,0.01260660495609045,-0.5009306959172171,0.006172839506172839,0.02962962962962963,0.03979078330340626,67.0,0.503243044039064,0.0038339408807652824,xp2,0.1,180
2,time_residual_shifted_null,calib0.1_time_resid,3502,810,32,16,0.016871575240656966,0.013716435059905052,0.009495051083856343,0.012648570351302624,-0.4806092500321999,0.011111111111111112,0.040740740740740744,0.04447283605255927,65.5,0.5094250967385295,0.015551367764218222,xp2,0.1,180
2,time_residual_mean,calib0.1_time_resid,3502,810,32,16,5.5324400893841386e-09,3.216522159732449e-09,0.0035383665153791233,0.018253725953400135,-0.00021929651630214764,0.007407407407407408,0.037037037037037035,0.040638441293296634,68.0,0.5,1.3733227518149722e-18,xp2,0.1,180
3,real_eeg_ridge,calib0.1,3774,675,32,16,0.0060216749989194795,0.011510432697832584,0.01451673398906779,0.041095033288002014,-0.4599032667794076,0.007407407407407408,0.044444444444444446,0.04266972659239525,68.0,0.505052515201769,0.0033808469589073397,xp2,0.1,150
3,shifted_null_ridge,calib0.1,3774,675,32,16,0.02189634022215614,0.018559825606644154,0.042355485602920115,0.0254221148788929,-0.2707535759031916,0.002962962962962963,0.034074074074074076,0.037368216934130324,68.0,0.5055500276395799,0.011429162395402316,xp2,0.1,150
3,time_only_ridge,calib0.1,3774,675,32,16,0.017792588878364768,0.029055463150143623,0.053604638179057036,0.046516016125679016,-0.0008565757053344836,0.007407407407407408,0.034074074074074076,0.0394201481591263,66.0,0.5171365395245991,0.021953143714878325,xp2,0.1,150
3,train_mean,calib0.1,3774,675,32,16,-6.151060216730286e-10,1.6372260214225776e-09,-0.011203926751601373,-0.019840937107801437,-0.0008430511435530974,0.007407407407407408,0.037037037037037035,0.04063844129329664,68.0,0.5,3.4694469519536144e-19,xp2,0.1,150
3,time_residual_eeg_ridge,calib0.1_time_resid,3774,675,32,16,0.006025438517099246,0.008600624743849039,0.016582690709619784,0.024810902774333954,-0.46095210329009473,0.005925925925925926,0.047407407407407405,0.042412091247556245,67.0,0.5038584853510226,0.007658134683623188,xp2,0.1,150
3,time_residual_shifted_null,calib0.1_time_resid,3774,675,32,16,-0.0009305668245360721,0.0014074822538532317,-0.0028253614873176925,-0.013887748122215271,-0.2544580742991869,0.005925925925925926,0.03851851851851852,0.03826144285397376,71.0,0.49734660033167494,-0.0014566811780779467,xp2,0.1,150
3,time_residual_mean,calib0.1_time_resid,3774,675,32,16,-1.3822631910603844e-09,3.241968637990311e-10,0.004640860878765428,-0.002976616844534874,-0.00017485483669710256,0.007407407407407408,0.037037037037037035,0.040638441293296634,68.0,0.5,-1.4961989980299962e-18,xp2,0.1,150
1,real_eeg_ridge,calib0.2,3682,810,32,16,0.010554122978646774,0.006838458124548197,0.007893935432104239,-0.008785152342170477,-0.4600083052022639,0.008641975308641974,0.044444444444444446,0.04519774504635166,66.0,0.5133130643080892,0.012030233469741733,xp2,0.2,360
1,shifted_null_ridge,calib0.2,3682,810,32,16,-0.007816831996933615,-0.005334151908755302,-0.00890434756648675,0.008126637199893594,-0.5831440932293752,0.007407407407407408,0.043209876543209874,0.04322847690182024,65.5,0.5091394877464529,0.007025266844409801,xp2,0.2,360
1,time_only_ridge,calib0.2,3682,810,32,16,0.017545942071592435,0.005570722045376897,0.06462066989858423,0.05446978099644184,-0.0010013220466871253,0.008641975308641974,0.024691358024691357,0.0388811640299692,63.0,0.5164086972544684,0.029406847037161288,xp2,0.2,360
1,train_mean,calib0.2,3682,810,32,16,1.2805608918932245e-09,2.6407976916331677e-09,0.04645214325509086,0.05766081623733044,-0.000444113731393303,0.007407407407407408,0.037037037037037035,0.040638441293296634,68.0,0.5,1.734723475976807e-18,xp2,0.2,360
1,time_residual_eeg_ridge,calib0.2_time_resid,3682,810,32,16,0.008787210122363831,0.008908458519726992,0.016278133362586097,0.0027200098847970366,-0.44566544389550367,0.009876543209876543,0.04691358024691358,0.0449416470080192,66.5,0.5149898654873779,0.014942986702172145,xp2,0.2,360
1,time_residual_shifted_null,calib0.2_time_resid,3682,810,32,16,0.0043715635110856965,0.003924930817447603,0.02429903700978662,0.009469257667660713,-0.6543376292194085,0.009876543209876543,0.03827160493827161,0.045817927755385596,63.5,0.5243688962594435,0.024832734381423017,xp2,0.2,360
1,time_residual_mean,calib0.2_time_resid,3682,810,32,16,-3.973140886999586e-09,-5.998168184362385e-09,0.008863901945526631,0.009217648301273584,-0.0007610308155148182,0.007407407407407408,0.037037037037037035,0.040638441293296634,68.0,0.5,-2.457524924300477e-18,xp2,0.2,360
2,real_eeg_ridge,calib0.2,3682,810,32,16,-0.008927152928663418,-0.010508066508919,0.004698929243453743,0.009441572707146406,-0.4806006591039016,0.009876543209876543,0.03950617283950617,0.04365561689561167,64.5,0.5156071494379952,0.01713605545850989,xp2,0.2,360
2,shifted_null_ridge,calib0.2,3682,810,32,16,-0.008066521302680485,-0.012118777725845575,-0.021980970443289637,-0.02107621356844902,-0.4512457421241365,0.007407407407407408,0.03580246913580247,0.03947494276248708,68.0,0.4963515754560531,-0.0057678012932117955,xp2,0.2,360
2,time_only_ridge,calib0.2,3682,810,32,16,0.023709639412118122,0.03400862030684948,0.05795385504750385,0.054384542629122734,0.0017523067367648526,0.007407407407407408,0.03580246913580247,0.04231151787360334,61.5,0.5289754929058411,0.037769648909525264,xp2,0.2,360
2,train_mean,calib0.2,3682,810,32,16,2.1202440358969454e-09,3.7959361209871645e-09,0.005067337862662195,0.004301817622035742,-0.0004118985610694903,0.007407407407407408,0.037037037037037035,0.040638441293296634,68.0,0.5,-1.6517142471458857e-18,xp2,0.2,360
2,time_residual_eeg_ridge,calib0.2_time_resid,3682,810,32,16,-0.010392764525022358,-0.013342277146875858,0.009115133728626483,0.010550854727625847,-0.44265614783559903,0.007407407407407408,0.03209876543209877,0.040669637110784425,65.0,0.5056753270683619,0.00627180924854841,xp2,0.2,360
2,time_residual_shifted_null,calib0.2_time_resid,3682,810,32,16,-0.017342696606647223,-0.016669505275785923,-0.025213190079034293,-0.01815180480480194,-0.49180694710740624,0.0024691358024691358,0.03209876543209877,0.033618454814066716,70.0,0.4786438179473006,-0.0274323714915624,xp2,0.2,360
2,time_residual_mean,calib0.2_time_resid,3682,810,32,16,-4.1083008308427016e-09,-6.000844265940941e-09,0.006878593433425578,0.0031896174186840653,-0.00024013643995290934,0.007407407407407408,0.037037037037037035,0.040638441293296634,68.0,0.5,1.6805133673525319e-18,xp2,0.2,360
3,real_eeg_ridge,calib0.2,3924,675,32,16,0.015244323895785783,0.0002653956908034161,0.023542581816911008,0.047244466841220856,-0.34283089116900545,0.013333333333333334,0.04296296296296296,0.04640679474780365,63.0,0.5150469872857932,0.015227457440848382,xp2,0.2,300
3,shifted_null_ridge,calib0.2,3924,675,32,16,-0.00659938512512781,-0.013073001056909561,0.020914430053068186,0.014437660574913025,-0.3083748543040148,0.007407407407407408,0.04296296296296296,0.04331275855662043,68.0,0.4998783858485351,0.004799917736299097,xp2,0.2,300
3,time_only_ridge,calib0.2,3924,675,32,16,0.01670560812635813,0.027786320075392723,0.059383793462809455,0.058210428804159164,-0.001291654663927,0.007407407407407408,0.037037037037037035,0.040385000951563305,64.0,0.5187396351575456,0.023978652540751745,xp2,0.2,300
3,train_mean,calib0.2,3924,675,32,16,-2.0164093993558156e-09,-7.012131431061164e-10,0.017659200972066847,0.020045803859829903,-0.0010750638710776972,0.007407407407407408,0.037037037037037035,0.04063844129329664,68.0,0.5,3.3827107781547738e-18,xp2,0.2,300
3,time_residual_eeg_ridge,calib0.2_time_resid,3924,675,32,16,0.01334103534463793,-0.0015026244800537825,0.023029200504965115,0.03095434047281742,-0.32075554799344075,0.01037037037037037,0.03851851851851852,0.04333405251539746,63.0,0.5169264787175235,0.017006913897827877,xp2,0.2,300
3,time_residual_shifted_null,calib0.2_time_resid,3924,675,32,16,-0.011558235222764779,-0.0145294270478189,0.010458588617405406,0.004294192418456078,-0.2976060497742725,0.013333333333333334,0.03851851851851852,0.04649153844553712,68.0,0.5105693753454946,0.01169670926155819,xp2,0.2,300
3,time_residual_mean,calib0.2_time_resid,3924,675,32,16,-3.1781859366475373e-09,-3.1781859366475373e-09,-0.0042007559438287795,0.009021831676363945,-0.00020059179214859668,0.007407407407407408,0.037037037037037035,0.04063844129329664,68.0,0.5,-6.071532165918824e-19,xp2,0.2,300
1,real_eeg_ridge,calib0.3,3862,810,32,16,0.018311416280113235,0.015620458871126175,0.045733017314970634,0.03962724283337593,-0.5161991880539392,0.007407407407407408,0.044444444444444446,0.04506007483938027,67.0,0.5129261101897918,0.015170949662384789,xp2,0.3,540
1,shifted_null_ridge,calib0.3,3862,810,32,16,0.0053993886372722955,0.004118516109883785,0.003384344839350102,-0.016390707343816757,-0.6540134762723551,0.0049382716049382715,0.037037037037037035,0.03978545363015747,67.0,0.5053712916896996,0.006462759763651048,xp2,0.3,540
1,time_only_ridge,calib0.3,3862,810,32,16,0.021284033813572023,0.008820123039186,0.05776315586908036,0.05976288206875324,-0.0006528107701329056,0.0049382716049382715,0.03209876543209877,0.03895883973706607,62.5,0.5220748111295376,0.03407111899691146,xp2,0.3,540
1,train_mean,calib0.3,3862,810,32,16,2.162452106269086e-09,6.667433272156131e-11,0.028980277872207447,0.04824739880859852,-0.00024303088316024457,0.007407407407407408,0.037037037037037035,0.040638441293296634,68.0,0.5,0.0,xp2,0.3,540
1,time_residual_eeg_ridge,calib0.3_time_resid,3862,810,32,16,0.016163752898137318,0.01356776524335146,0.018054345533119538,-0.008477990748360753,-0.5120995462968714,0.011111111111111112,0.04567901234567901,0.04777965461260954,68.0,0.5116731159019716,0.014185561292839226,xp2,0.3,540
1,time_residual_shifted_null,calib0.3_time_resid,3862,810,32,16,-0.014146979843644658,-0.02141488716006279,-0.028243769419646857,-0.023090429604053497,-0.5259636866676192,0.008641975308641974,0.02962962962962963,0.03797905372144326,71.0,0.48386769854431544,-0.02218717285666502,xp2,0.3,540
1,time_residual_mean,calib0.3_time_resid,3862,810,32,16,2.851371065185996e-09,1.6287025061956228e-09,0.01176991707984542,0.012189488392323256,-0.0007637719622439754,0.007407407407407408,0.037037037037037035,0.040638441293296634,68.0,0.5,4.04768811061255e-18,xp2,0.3,540
2,real_eeg_ridge,calib0.3,3862,810,32,16,-0.00027956497797276825,-0.0027969639049842954,0.0341437748124547,0.04881378635764122,-0.34722891629042385,0.007407407407407408,0.03950617283950617,0.04206053411557859,63.0,0.5196609544868251,0.0245655994773558,xp2,0.3,540
2,shifted_null_ridge,calib0.3,3862,810,32,16,0.011325979387947882,0.01912647020071745,0.013094147771918847,0.02609387505799532,-0.39385760459700325,0.007407407407407408,0.04197530864197531,0.043022639216792544,64.0,0.5101805785885387,0.013773519069081572,xp2,0.3,540
2,time_only_ridge,calib0.3,3862,810,32,16,0.02886434963102147,0.0294473459944129,0.055172594385595276,0.06549045443534851,0.002652627320782419,0.009876543209876543,0.0345679012345679,0.045370848589012164,60.0,0.5354155150175051,0.04567039648891593,xp2,0.3,540
2,train_mean,calib0.3,3862,810,32,16,-2.8155854711212467e-09,-1.3320867742194764e-09,0.008467459633808445,0.01662120409309864,-0.00022511805967884158,0.007407407407407408,0.037037037037037035,0.040638441293296634,68.0,0.5,-5.782411586589357e-19,xp2,0.3,540
2,time_residual_eeg_ridge,calib0.3_time_resid,3862,810,32,16,-0.0022194015837158076,-0.006882076384499669,0.014605675837377437,0.02275838702917099,-0.33977148684148495,0.0024691358024691358,0.02962962962962963,0.03682450016590871,66.0,0.5116132301455685,0.012198117491686202,xp2,0.3,540
2,time_residual_shifted_null,calib0.3_time_resid,3862,810,32,16,-0.00905183305440005,-0.006441207602620125,-0.004127780848585521,-0.011530841700732708,-0.3886727279356581,0.0024691358024691358,0.03333333333333333,0.03659868074069156,67.0,0.5014833241201401,0.005580890629113751,xp2,0.3,540
2,time_residual_mean,calib0.3_time_resid,3862,810,32,16,-8.879243636646569e-09,-8.434279719082838e-09,0.005871499615274427,0.018638964742422104,-0.0002552284116135173,0.007407407407407408,0.037037037037037035,0.040638441293296634,68.0,0.5,3.469446951953614e-18,xp2,0.3,540
3,real_eeg_ridge,calib0.3,4074,675,32,16,0.01937275797536131,0.012505297549068928,0.03412182273334582,0.045452479273080826,-0.32254243239474323,0.008888888888888889,0.04,0.04287838988963948,63.0,0.5205196241017137,0.019108936533667735,xp2,0.3,450
3,shifted_null_ridge,calib0.3,4074,675,32,16,-0.015115705515199807,-0.016978872008621693,-0.0149396667434323,-0.01251443475484848,-0.2999756488089649,0.005925925925925926,0.03259259259259259,0.0399568469336883,70.0,0.48414593698175784,-0.018739338442285636,xp2,0.3,450
3,time_only_ridge,calib0.3,4074,675,32,16,0.020571483692037873,0.025941808708012104,0.05516677094968381,0.05395098775625229,-0.0012363844605467467,0.007407407407407408,0.03111111111111111,0.03996637960431091,64.0,0.5211166390270867,0.02675606914488764,xp2,0.3,450
3,train_mean,calib0.3,4074,675,32,16,4.679137299845593e-09,1.6283749071366316e-09,-0.030052818827917455,-0.036252427846193314,-0.0008732980222212472,0.007407407407407408,0.037037037037037035,0.040638441293296634,68.0,0.5,-1.7347234759768072e-19,xp2,0.3,450
3,time_residual_eeg_ridge,calib0.3_time_resid,4074,675,32,16,0.01753987104166299,0.01031173299998045,0.029477348155945677,0.04213535040616989,-0.2958545090263174,0.007407407407407408,0.03851851851851852,0.041143365739472686,63.0,0.5262907683803206,0.023242577283467118,xp2,0.3,450
3,time_residual_shifted_null,calib0.3_time_resid,4074,675,32,16,0.015252852180310583,0.015956047922372818,0.02031327812445212,0.02936631254851818,-0.3023356270125115,0.005925925925925926,0.04148148148148148,0.040513911588141924,67.0,0.5131785516860143,0.011781481894284965,xp2,0.3,450
3,time_residual_mean,calib0.3_time_resid,4074,675,32,16,-4.2056549909297303e-10,-2.213834560116368e-09,-0.0019986670905793153,0.00805007666349411,-0.0002041163545545288,0.007407407407407408,0.037037037037037035,0.040638441293296634,68.0,0.5,-2.278179814935166e-18,xp2,0.3,450
1,real_eeg_ridge,calib0.4,4042,810,32,16,0.0196076928432376,0.016365605406463146,0.05023350000592024,0.03266645595431328,-0.42572701487883124,0.011111111111111112,0.05185185185185185,0.04911379148664404,67.5,0.5131748664086973,0.01846104565938296,xp2,0.4,720
