dataset,control,split,fold,n_train,n_test,n_classes,score_name,score,chance,aux_name,aux_score,interpretation
sleep,spatial:time_bin_from_eeg,within_run_block,2,7050,1839,8,balanced_accuracy,0.07380195017783613,0.125,accuracy,0.11963023382272975,near_chance
sleep,spatial:time_frac_from_eeg,within_run_block,2,7050,1839,1,corr,0.16936654358075345,0.0,r2,-0.1514897346496582,above_chance
sleep,spatial:subject_id_from_eeg,within_run_block,3,7112,1761,33,balanced_accuracy,0.9703219696969696,0.030303030303030304,accuracy,0.9670641680863146,above_chance
sleep,spatial:run_id_from_eeg,within_run_block,3,7112,1761,33,balanced_accuracy,0.9703219696969696,0.030303030303030304,accuracy,0.9670641680863146,above_chance
sleep,spatial:time_bin_from_eeg,within_run_block,3,7112,1761,8,balanced_accuracy,0.046198510016114934,0.125,accuracy,0.05167518455423055,near_chance
sleep,spatial:time_frac_from_eeg,within_run_block,3,7112,1761,1,corr,-0.06077837848350465,0.0,r2,-0.3099015951156616,weak
sleep,spatial:time_bin_from_eeg,subject_heldout,1,6182,3091,8,balanced_accuracy,0.15819805194805192,0.125,accuracy,0.15787770947913296,weak
sleep,spatial:time_frac_from_eeg,subject_heldout,1,6182,3091,1,corr,0.21924605295847585,0.0,r2,-0.20143461227416992,above_chance
sleep,spatial:time_bin_from_eeg,subject_heldout,2,6182,3091,8,balanced_accuracy,0.15369769119769122,0.125,accuracy,0.15399547072144937,near_chance
sleep,spatial:time_frac_from_eeg,subject_heldout,2,6182,3091,1,corr,0.22146314384163163,0.0,r2,-0.2256336212158203,above_chance
sleep,spatial:time_bin_from_eeg,subject_heldout,3,6182,3091,8,balanced_accuracy,0.1538961038961039,0.125,accuracy,0.15399547072144937,near_chance
sleep,spatial:time_frac_from_eeg,subject_heldout,3,6182,3091,1,corr,0.08682830127556378,0.0,r2,-1.4876611232757568,weak
sleep,spatial:temporal_autocorr_lag1,no_train,0,0,9240,1,lag_cosine,0.9762483209991046,0.7823195928475488,lag_minus_random,0.19392872815155582,temporally_smooth
sleep,spatial:temporal_autocorr_lag4,no_train,0,0,9141,1,lag_cosine,0.9017641129181726,0.7795375801684764,lag_minus_random,0.12222653274969619,temporally_smooth
sleep,spatial:temporal_autocorr_lag16,no_train,0,0,8745,1,lag_cosine,0.8607008709905984,0.7785393416144458,lag_minus_random,0.08216152937615262,temporally_smooth
sleep,spatial:temporal_autocorr_lag64,no_train,0,0,7161,1,lag_cosine,0.8079257125460428,0.78308609040185,lag_minus_random,0.024839622144192886,weak
natview,summary:subject_id_from_eeg,within_run_block,1,4116,1369,22,balanced_accuracy,0.7434943181818183,0.045454545454545456,accuracy,0.7487216946676406,above_chance
natview,summary:run_id_from_eeg,within_run_block,1,4116,1369,22,balanced_accuracy,0.7434943181818183,0.045454545454545456,accuracy,0.7487216946676406,above_chance
natview,summary:time_bin_from_eeg,within_run_block,1,4116,1369,8,balanced_accuracy,0.05981388592350679,0.125,accuracy,0.056245434623813005,near_chance
natview,summary:time_frac_from_eeg,within_run_block,1,4116,1369,1,corr,-0.32612747565882644,0.0,r2,-0.5690863132476807,above_chance
natview,summary:subject_id_from_eeg,within_run_block,2,4247,1270,22,balanced_accuracy,0.7625094696969696,0.045454545454545456,accuracy,0.7669291338582677,above_chance
natview,summary:run_id_from_eeg,within_run_block,2,4247,1270,22,balanced_accuracy,0.7625094696969696,0.045454545454545456,accuracy,0.7669291338582677,above_chance
natview,summary:time_bin_from_eeg,within_run_block,2,4247,1270,8,balanced_accuracy,0.0507031291317844,0.125,accuracy,0.05826771653543307,near_chance
natview,summary:time_frac_from_eeg,within_run_block,2,4247,1270,1,corr,-0.30168016908877554,0.0,r2,-0.298728346824646,above_chance
natview,summary:subject_id_from_eeg,within_run_block,3,4254,1255,22,balanced_accuracy,0.7842264637719183,0.045454545454545456,accuracy,0.7816733067729084,above_chance
natview,summary:run_id_from_eeg,within_run_block,3,4254,1255,22,balanced_accuracy,0.7842264637719183,0.045454545454545456,accuracy,0.7816733067729084,above_chance
natview,summary:time_bin_from_eeg,within_run_block,3,4254,1255,8,balanced_accuracy,0.04247960640090498,0.125,accuracy,0.04223107569721116,near_chance
natview,summary:time_frac_from_eeg,within_run_block,3,4254,1255,1,corr,-0.17278214627106792,0.0,r2,-0.420590877532959,above_chance
natview,summary:time_bin_from_eeg,subject_heldout,1,3613,2198,8,balanced_accuracy,0.13620121433675084,0.125,accuracy,0.1364877161055505,near_chance
natview,summary:time_frac_from_eeg,subject_heldout,1,3613,2198,1,corr,0.0033798472603434565,0.0,r2,-0.04102885723114014,near_chance
natview,summary:time_bin_from_eeg,subject_heldout,2,4090,1721,8,balanced_accuracy,0.1450180768171472,0.125,accuracy,0.14468332364904127,near_chance
natview,summary:time_frac_from_eeg,subject_heldout,2,4090,1721,1,corr,0.07594012667571864,0.0,r2,-0.034833312034606934,weak
natview,summary:time_bin_from_eeg,subject_heldout,3,3919,1892,8,balanced_accuracy,0.1482072614796397,0.125,accuracy,0.14852008456659618,near_chance
natview,summary:time_frac_from_eeg,subject_heldout,3,3919,1892,1,corr,0.05492677665454564,0.0,r2,-0.03400242328643799,weak
natview,summary:temporal_autocorr_lag1,no_train,0,0,5789,1,lag_cosine,0.929768715204165,0.6652942235585092,lag_minus_random,0.26447449164565584,temporally_smooth
natview,summary:temporal_autocorr_lag4,no_train,0,0,5723,1,lag_cosine,0.7566038981449057,0.6556943522902552,lag_minus_random,0.1009095458546505,temporally_smooth
natview,summary:temporal_autocorr_lag16,no_train,0,0,5459,1,lag_cosine,0.7081952540853809,0.6536862823216026,lag_minus_random,0.054508971763778225,temporally_smooth
natview,summary:temporal_autocorr_lag64,no_train,0,0,4403,1,lag_cosine,0.6711601295626785,0.6569207192592353,lag_minus_random,0.014239410303443112,weak
natview,spatial:subject_id_from_eeg,within_run_block,1,4116,1369,22,balanced_accuracy,1.0,0.045454545454545456,accuracy,1.0,above_chance
natview,spatial:run_id_from_eeg,within_run_block,1,4116,1369,22,balanced_accuracy,1.0,0.045454545454545456,accuracy,1.0,above_chance
natview,spatial:time_bin_from_eeg,within_run_block,1,4116,1369,8,balanced_accuracy,0.014393810267253811,0.125,accuracy,0.014609203798392988,near_chance
natview,spatial:time_frac_from_eeg,within_run_block,1,4116,1369,1,corr,-0.42752152264617144,0.0,r2,-1.3886654376983643,above_chance
natview,spatial:subject_id_from_eeg,within_run_block,2,4247,1270,22,balanced_accuracy,1.0,0.045454545454545456,accuracy,1.0,above_chance
natview,spatial:run_id_from_eeg,within_run_block,2,4247,1270,22,balanced_accuracy,1.0,0.045454545454545456,accuracy,1.0,above_chance
natview,spatial:time_bin_from_eeg,within_run_block,2,4247,1270,8,balanced_accuracy,0.006670010894283752,0.125,accuracy,0.005511811023622047,near_chance
natview,spatial:time_frac_from_eeg,within_run_block,2,4247,1270,1,corr,-0.5702475103719061,0.0,r2,-0.6836930513381958,above_chance
natview,spatial:subject_id_from_eeg,within_run_block,3,4254,1255,22,balanced_accuracy,1.0,0.045454545454545456,accuracy,1.0,above_chance
natview,spatial:run_id_from_eeg,within_run_block,3,4254,1255,22,balanced_accuracy,1.0,0.045454545454545456,accuracy,1.0,above_chance
natview,spatial:time_bin_from_eeg,within_run_block,3,4254,1255,8,balanced_accuracy,0.029724040768189554,0.125,accuracy,0.027888446215139442,near_chance
natview,spatial:time_frac_from_eeg,within_run_block,3,4254,1255,1,corr,-0.40847292006331626,0.0,r2,-0.7544622421264648,above_chance
natview,spatial:time_bin_from_eeg,subject_heldout,1,3613,2198,8,balanced_accuracy,0.1368236611922303,0.125,accuracy,0.13739763421292084,near_chance
natview,spatial:time_frac_from_eeg,subject_heldout,1,3613,2198,1,corr,-0.023565810724027195,0.0,r2,-0.19082510471343994,near_chance
natview,spatial:time_bin_from_eeg,subject_heldout,2,4090,1721,8,balanced_accuracy,0.1405963684822819,0.125,accuracy,0.14061592097617664,near_chance
natview,spatial:time_frac_from_eeg,subject_heldout,2,4090,1721,1,corr,-0.01965060183551901,0.0,r2,-0.6996945142745972,near_chance
natview,spatial:time_bin_from_eeg,subject_heldout,3,3919,1892,8,balanced_accuracy,0.11643570556397957,0.125,accuracy,0.11627906976744186,near_chance
natview,spatial:time_frac_from_eeg,subject_heldout,3,3919,1892,1,corr,-0.04440418627852325,0.0,r2,-0.3197464942932129,near_chance
natview,spatial:temporal_autocorr_lag1,no_train,0,0,5789,1,lag_cosine,0.9631842173483719,0.8017793179696809,lag_minus_random,0.16140489937869096,temporally_smooth
natview,spatial:temporal_autocorr_lag4,no_train,0,0,5723,1,lag_cosine,0.858386834995083,0.7961856233898673,lag_minus_random,0.062201211605215634,temporally_smooth
natview,spatial:temporal_autocorr_lag16,no_train,0,0,5459,1,lag_cosine,0.8278602584338551,0.7957989349621417,lag_minus_random,0.03206132347171342,weak
natview,spatial:temporal_autocorr_lag64,no_train,0,0,4403,1,lag_cosine,0.8031475355141963,0.7988752173679792,lag_minus_random,0.004272318146217091,near_random
