fold,method,target_mode,n_train,n_test,y_dim,context_steps,target_corr_mean,target_corr_median,row_corr_mean,row_corr_median,r2,retrieval_top1,retrieval_top5,retrieval_mrr,retrieval_median_rank,retrieval_rank_percentile_mean,diag_minus_offdiag,dataset_name
3,time_only_ridge,Z_masked100,1843,850,32,16,0.025809983319049934,0.017888054251670837,0.0654407879161419,0.05824911594390869,0.006454016726392231,0.012941176470588235,0.0611764705882353,0.06008218341440522,43.0,0.5455536773108648,0.06300105828054213,gradcpt
3,train_mean,Z_masked100,1843,850,32,16,-1.3939567278242748e-09,3.1590812188397877e-09,0.0052922921104404585,0.019086391665041447,-0.00010893876694950677,0.010588235294117647,0.052941176470588235,0.0542668471940756,48.0,0.5,1.927470528863119e-19,gradcpt
3,time_residual_eeg_ridge,Z_masked100_time_resid,1843,850,32,16,-0.0058954530788923876,-0.00945600587874651,0.01051774347337949,0.014480747748166323,-0.3504245311128238,0.015294117647058824,0.05411764705882353,0.05910800751853922,47.0,0.5053485612886348,0.0032955662132393725,gradcpt
3,time_residual_shifted_null,Z_masked100_time_resid,1843,850,32,16,-0.00019777842214807606,0.003409320692298934,0.005063478937475285,-0.0025086255045607686,-0.3566714864448446,0.009411764705882352,0.0611764705882353,0.05612578034779442,50.0,0.4937016815879783,-0.011058249383593954,gradcpt
3,time_residual_mean,Z_masked100_time_resid,1843,850,32,16,6.580171814836906e-09,8.940084228470369e-09,0.011735288051833563,0.023855481296777725,-0.00010456267657410478,0.010588235294117647,0.052941176470588235,0.0542668471940756,48.0,0.5,-1.1564823173178713e-18,gradcpt
1,real_eeg_ridge,Z_masked100,5852,2926,32,16,0.0012872181358716261,0.0024251341819763184,0.022913937713087126,0.00928320037201047,-0.12033144792790695,0.0037593984962406013,0.020164046479835954,0.024483143416995534,130.0,0.507805104528044,0.013952308177898987,sleep
1,shifted_null_ridge,Z_masked100,5852,2926,32,16,-0.0008008915892787627,-0.00033508168417029083,-0.001230369669175893,-0.01794902142137289,-0.09589608891844814,0.0030758714969241286,0.02050580997949419,0.022956496259858825,134.0,0.4987425682559745,0.0011939841067118582,sleep
1,time_only_ridge,Z_masked100,5852,2926,32,16,0.002619571402647125,0.0012841941934311762,-0.0026492539298472906,0.0012322174734435976,-0.003188882745504662,0.0037593984962406013,0.016062884483937116,0.022690266865623313,134.0,0.5020015734017721,-0.0034111841705281826,sleep
1,train_mean,Z_masked100,5852,2926,32,16,1.4722029128185394e-09,1.6681271364227257e-09,-0.018576587672924312,-0.004222569288685918,-1.7738917611254124e-05,0.0037593984962406013,0.018796992481203006,0.02316763344051352,133.5,0.5,2.1622441053546138e-18,sleep
1,time_residual_eeg_ridge,Z_masked100_time_resid,5852,2926,32,16,0.0009341858585685259,0.0028257040539756417,0.01139455173714274,0.0027796339709311724,-0.12183996216867632,0.004101161995898838,0.01845522898154477,0.023635992361961906,130.0,0.5047189156424509,0.010876250912520813,sleep
1,time_residual_shifted_null,Z_masked100_time_resid,5852,2926,32,16,0.0015591003267765302,0.0011211532400920987,-0.005901907475500734,-0.006997226504608989,-0.10280164114224943,0.0023923444976076554,0.015379357484620642,0.021288365273086952,133.0,0.49819316730935403,-0.0004317303640591059,sleep
1,time_residual_mean,Z_masked100_time_resid,5852,2926,32,16,6.509590237878195e-10,-1.390524202726784e-09,-0.009033219880252245,-0.028163015842437744,-1.7745107409261607e-05,0.0037593984962406013,0.018796992481203006,0.023167633440513515,133.5,0.5,-2.7597873481449203e-19,sleep
2,real_eeg_ridge,Z_masked100,5852,2926,32,16,-4.488026934268419e-05,0.0011330179986543953,0.02407619468586886,0.028279048390686512,-0.30944652224238234,0.00580997949419002,0.017429938482570063,0.024831165085166237,128.0,0.5153187428261907,0.020385918536774548,sleep
2,shifted_null_ridge,Z_masked100,5852,2926,32,16,0.0010041589630418457,0.002261970774270594,0.013483094374084218,0.008068523835390806,-0.2162755916450525,0.004101161995898838,0.016404647983595352,0.022720462208508957,136.0,0.4976347386476483,-0.005016962975365345,sleep
2,time_only_ridge,Z_masked100,5852,2926,32,16,0.015653422319473975,0.020339463837444782,0.024651850210233986,0.03444642014801502,0.00042038116366927003,0.00580997949419002,0.0215311004784689,0.024985397317993912,126.0,0.520909477811166,0.02189248820013638,sleep
2,train_mean,Z_masked100,5852,2926,32,16,2.331773859856864e-09,2.7584166062410986e-09,-0.00373427328163231,-0.0057982082944363356,-7.955600516806882e-06,0.0037593984962406013,0.018796992481203006,0.023167633440513515,133.5,0.5,-1.931851143701444e-18,sleep
2,time_residual_eeg_ridge,Z_masked100_time_resid,5852,2926,32,16,0.00020430082349776058,0.0010506001999601722,0.017033478035006683,0.02527346182614565,-0.3138890731252013,0.003417634996582365,0.017088174982911826,0.023451239297695242,130.0,0.5090702743135713,0.011089796363344253,sleep
2,time_residual_shifted_null,Z_masked100_time_resid,5852,2926,32,16,-0.0005014094822399784,0.0032450733706355095,-0.004523170842805506,-0.016120025888085365,-0.1119394777684386,0.002734107997265892,0.019138755980861243,0.022354431588993445,133.0,0.5035801338681181,0.003988345988048827,sleep
2,time_residual_mean,Z_masked100_time_resid,5852,2926,32,16,4.1867875025500016e-09,6.3229745883575106e-09,-0.0038135702427871646,-0.006638796767219901,-7.838417652505925e-06,0.0037593984962406013,0.018796992481203006,0.02316763344051352,133.5,0.5,-3.277247475922093e-19,sleep
3,real_eeg_ridge,Z_masked100,5852,2926,32,16,0.0032435855973744765,0.0018254744354635477,0.01442779700666179,0.005708751734346151,-0.0765597997388825,0.0037593984962406013,0.018796992481203006,0.023633178806077557,131.0,0.506515430944428,0.011882149358267903,sleep
3,shifted_null_ridge,Z_masked100,5852,2926,32,16,0.0017942534578310187,-1.2646544746530708e-05,-0.012323163295377682,-0.018247603438794613,-0.14636996102835553,0.002050580997949419,0.017429938482570063,0.021588803760844887,132.0,0.5015862985078476,0.0029646698011926934,sleep
3,time_only_ridge,Z_masked100,5852,2926,32,16,0.010554657092143316,0.013209572061896324,0.020611487598440427,0.02082441747188568,0.00011458645802420175,0.002734107997265892,0.020847573479152427,0.024100723670000736,127.0,0.5132642928074904,0.018792001149212808,sleep
3,train_mean,Z_masked100,5852,2926,32,16,2.7706198940041165e-09,4.5375712076634045e-09,-0.00987075970559423,-0.015087570995092392,-9.982679133102579e-06,0.0037593984962406013,0.018796992481203006,0.023167633440513515,133.5,0.5,6.110957699463753e-19,sleep
3,time_residual_eeg_ridge,Z_masked100_time_resid,5852,2926,32,16,0.0031210030520014698,0.0009776258375495672,0.0031333605464801133,-0.0017152991495095193,-0.07187101408725383,0.0037593984962406013,0.01948051948051948,0.024189560771267972,132.0,0.5036175344020428,0.008084021704687005,sleep
3,time_residual_shifted_null,Z_masked100_time_resid,5852,2926,32,16,-0.004451313388926792,-0.0032961490796878934,-0.00940378376938473,-0.016694174148142338,-0.18826346384055914,0.003417634996582365,0.0177717019822283,0.0224026626479518,136.0,0.4948039051316112,-0.005533840613072027,sleep
3,time_residual_mean,Z_masked100_time_resid,5852,2926,32,16,2.49757114989535e-09,3.0843017029269504e-09,-0.005002487254369827,-0.006975774187594652,-9.983922821810154e-06,0.0037593984962406013,0.018796992481203006,0.023167633440513515,133.5,0.5,-3.5482980190434693e-19,sleep
1,real_eeg_ridge,Z_masked100,4148,2450,32,16,1.0868725894397357e-05,-0.0002878513987525366,-0.0047269771191082435,-0.018117308616638184,-1.9214696430665779,0.002857142857142857,0.0163265306122449,0.019413351991688223,175.5,0.5020677153382843,0.0008718564854237135,speeded
1,shifted_null_ridge,Z_masked100,4148,2450,32,16,0.0018261237137267017,0.0003220093349227682,0.009987435568128807,0.016467289067804813,-0.9219531647054224,0.0032653061224489797,0.014285714285714285,0.018691748787774604,176.0,0.49828431085901415,-0.0008881320643261293,speeded
1,time_only_ridge,Z_masked100,4148,2450,32,16,0.027481323239044286,0.0249222032725811,-0.002761098486831654,-0.011285034473985434,-0.0063089252902772675,0.004489795918367347,0.02122448979591837,0.022143706491996942,182.0,0.4977322963569382,-0.004006846193742098,speeded
1,train_mean,Z_masked100,4148,2450,32,16,1.7689377879159807e-09,4.256070607056017e-09,0.00847152117725087,0.020451043732464314,-0.0001388639118027335,0.002857142857142857,0.014285714285714285,0.01839021917297717,175.5,0.5,-3.717264591378872e-19,speeded
1,time_residual_eeg_ridge,Z_masked100_time_resid,4148,2450,32,16,-0.00038139978369144956,1.4898614608682692e-05,-0.004749863381804823,-0.01907711010426283,-1.877044112641645,0.0024489795918367346,0.015510204081632653,0.018619852914833375,177.0,0.5013227296649319,0.0007451267681560662,speeded
1,time_residual_shifted_null,Z_masked100_time_resid,4148,2450,32,16,-0.0002540315363148693,-0.0009286855347454548,-0.005462204561466636,-0.004356731427833438,-0.6355136061769822,0.002857142857142857,0.015918367346938776,0.018462166830974767,175.0,0.5005379802350739,0.0008610464827421792,speeded
1,time_residual_mean,Z_masked100_time_resid,4148,2450,32,16,-4.6180390499294e-09,-1.501372803858203e-09,-0.018580303202996182,-0.04830741882324219,-0.00013739060428563654,0.002857142857142857,0.014285714285714285,0.01839021917297717,175.5,0.5,9.912705577010326e-19,speeded
2,real_eeg_ridge,Z_masked100,4496,2102,32,16,0.00010072096210933523,0.0010067969851661474,0.01655192661157039,0.01754618063569069,-0.9170299332376415,0.0028544243577545195,0.01569933396764986,0.018888627032788787,175.0,0.5031427895925891,0.004315140675191602,speeded
2,shifted_null_ridge,Z_masked100,4496,2102,32,16,0.0029492095040382083,0.0031191312009468675,-0.002747051024967838,0.02490432932972908,-0.5646879805916114,0.002378686964795433,0.011417697431018078,0.01701373941820719,175.0,0.5000850237042266,-0.003476053721233559,speeded
2,time_only_ridge,Z_masked100,4496,2102,32,16,0.023142084159189835,0.026143484748899937,0.019326550607319404,0.04861226864159107,-0.00617539634453923,0.003805899143672693,0.020456707897240724,0.022040270946995677,159.0,0.5272049755717924,0.019503682915437744,speeded
2,train_mean,Z_masked100,4496,2102,32,16,-2.3384136293991276e-09,3.651970503781854e-09,-0.001281019410130202,0.002267784788273275,-2.535782050516744e-05,0.0028544243577545195,0.014272121788772598,0.018375428246999035,176.0,0.5,-9.03501810404587e-19,speeded
2,time_residual_eeg_ridge,Z_masked100_time_resid,4496,2102,32,16,0.00044923197265234194,0.0005128739139763638,0.016953701747869605,0.018879836425185204,-0.8682394544566128,0.002378686964795433,0.016175071360608945,0.019272588414766267,175.0,0.502776305698342,0.0035994112774266405,speeded
2,time_residual_shifted_null,Z_masked100_time_resid,4496,2102,32,16,-0.0014296474400907755,-0.0020347298122942448,-0.009398128396172005,-0.00856115110218525,-0.6401207080755948,0.003330161750713606,0.011893434823977164,0.018315912651875196,175.0,0.4998495337141299,0.0023174469730046754,speeded
2,time_residual_mean,Z_masked100_time_resid,4496,2102,32,16,4.5089401003744704e-09,6.1754636959676645e-09,-0.020338490928154835,-0.021650081500411034,-2.5292514205021988e-05,0.0028544243577545195,0.014272121788772598,0.01837542824699904,176.0,0.5,-4.336808689942018e-18,speeded
3,real_eeg_ridge,Z_masked100,4552,2046,32,16,-8.009545649656502e-05,0.0007181693654274568,0.003594784129125122,0.012549725361168385,-0.9289101480665531,0.001466275659824047,0.016129032258064516,0.018644895894746546,169.0,0.5033116614216092,0.0036748238810968797,speeded
3,shifted_null_ridge,Z_masked100,4552,2046,32,16,-0.00011740640729840379,0.0001917049230542034,0.0009401973914829577,-0.0018412503995932639,-1.0022274512941478,0.002932551319648094,0.01270772238514174,0.017965460892895788,171.0,0.4976073831571301,-0.0025499247819689235,speeded
3,time_only_ridge,Z_masked100,4552,2046,32,16,0.023654738972254563,0.020417778752744198,-0.013240883047807983,-0.014169270638376474,-0.012858468834398007,0.0024437927663734115,0.016129032258064516,0.01922197046525222,176.0,0.49929881389115854,-0.014375869530351073,speeded
3,train_mean,Z_masked100,4552,2046,32,16,-4.855183850919916e-09,-7.56371498766839e-09,-0.009220785145903984,-0.00948292063549161,-0.00025097640297944146,0.002932551319648094,0.01466275659824047,0.01879381569404002,171.0,0.5,3.975407965780183e-19,speeded
3,time_residual_eeg_ridge,Z_masked100_time_resid,4552,2046,32,16,3.891947380907368e-05,0.0018622460193000734,0.003984211714392223,-0.00033946027542697266,-0.7635391044821045,0.002932551319648094,0.015640273704789834,0.019232227994118327,169.0,0.5019944748042368,0.0022530176816764965,speeded
3,time_residual_shifted_null,Z_masked100_time_resid,4552,2046,32,16,0.004697761906300002,0.006485312012955546,-0.00388844279640618,-0.007623609621077776,-0.5064748824001377,0.003421309872922776,0.011241446725317693,0.018484082520679117,170.0,0.500238585193647,0.002040721919973463,speeded
3,time_residual_mean,Z_masked100_time_resid,4552,2046,32,16,4.1045690303399676e-09,2.8745392732787423e-09,0.015831310532075937,0.027599538676440716,-0.0002451231682780719,0.002932551319648094,0.01466275659824047,0.01879381569404002,171.0,0.5,1.807003620809174e-18,speeded
1,real_eeg_ridge,Z_masked100,5034,2515,32,16,0.008975774059763353,0.009764955379068851,0.033094548683386266,0.029811222106218338,-0.6159750941538602,0.0019880715705765406,0.01709741550695825,0.02077865602707511,146.0,0.5208685827749322,0.03160124197334643,experience
1,shifted_null_ridge,Z_masked100,5034,2515,32,16,-0.0037658256087524933,-0.0035424591042101383,-0.0025575609328030843,0.0074856216087937355,-0.3858396121254002,0.0019880715705765406,0.017892644135188866,0.019367991684547666,156.0,0.49995720241561414,-0.0025301261160506363,experience
1,time_only_ridge,Z_masked100,5034,2515,32,16,0.061491480679251254,0.046910643577575684,0.14323915268013196,0.16098152101039886,0.01929763708594312,0.0075546719681908545,0.031013916500994037,0.032006664590277914,113.0,0.6048933739388713,0.14969328225506578,experience
1,train_mean,Z_masked100,5034,2515,32,16,-1.7481561241329866e-09,1.5597310110138096e-09,-0.005394037980975113,-0.007563049905002117,-2.0025581933591496e-05,0.0031809145129224653,0.015904572564612324,0.020105377007642075,158.0,0.5,-1.8431436932253575e-18,experience
1,time_residual_eeg_ridge,Z_masked100_time_resid,5034,2515,32,16,0.002144633378065919,0.005937095265835524,0.019717309347513687,0.024986907839775085,-0.6615752926524769,0.002385685884691849,0.016699801192842943,0.020017061612743654,151.0,0.5099604186882951,0.014696402136441113,experience
1,time_residual_shifted_null,Z_masked100_time_resid,5034,2515,32,16,-0.0012595853452523897,-0.0022129121934995055,0.003203292739968497,-0.004280200693756342,-0.34138370990422007,0.003976143141153081,0.017892644135188866,0.020929660640269795,160.0,0.49750523316596507,0.0028611621170519484,experience
1,time_residual_mean,Z_masked100_time_resid,5034,2515,32,16,2.103101150020671e-10,2.151030242814045e-09,-0.0016948917461281445,-0.002769148675724864,-2.0496245339396424e-05,0.0031809145129224653,0.015904572564612324,0.020105377007642075,158.0,0.5,-9.75781955236954e-19,experience
2,real_eeg_ridge,Z_masked100,5070,2479,32,16,-0.002959203936342192,-0.0025181685341522098,0.02211665139107318,0.03165990114212036,-2.026172423075876,0.0024203307785397336,0.01653892698668818,0.020851353030078876,153.0,0.5073676546742154,0.005447996089025718,experience
2,shifted_null_ridge,Z_masked100,5070,2479,32,16,0.0005703849121800886,-0.0002431857901683543,-0.003652910154358213,-0.004105905536562204,-0.7400901420967552,0.0024203307785397336,0.015328761597418314,0.019524785557686813,157.0,0.4978467468365339,-0.003559466647646296,experience
2,time_only_ridge,Z_masked100,5070,2479,32,16,0.062284268002258614,0.05753739923238754,0.13358889442157945,0.14536862075328827,0.01509342156622806,0.00645421540943929,0.030254134731746672,0.0326659232298066,101.0,0.6331523704538169,0.13604184566779115,experience
2,train_mean,Z_masked100,5070,2479,32,16,-3.87203162273041e-09,-3.3154010647962195e-09,0.015978839197375572,0.03746557980775833,-1.9582181757904493e-05,0.003227107704719645,0.016135538523598225,0.020365873243723902,155.0,0.5,-2.710505431213761e-20,experience
2,time_residual_eeg_ridge,Z_masked100_time_resid,5070,2479,32,16,-0.002974693874421064,0.0007216326193884015,0.017185290516292962,0.017610684037208557,-2.0611779003308284,0.0028237192416296895,0.01653892698668818,0.020132854724550862,154.0,0.501310702980024,0.001169936982314046,experience
2,time_residual_shifted_null,Z_masked100_time_resid,5070,2479,32,16,-0.0024091717787086964,-0.0021467115730047226,-0.0032404490094703527,0.000668893160764128,-1.4136287408313417,0.002016942315449778,0.01371520774505849,0.01856685293191972,155.0,0.4987862873996046,0.00031597313720884085,experience
2,time_residual_mean,Z_masked100_time_resid,5070,2479,32,16,1.2350575007147313e-09,1.2041763142178752e-09,0.02949830883987032,0.04454048350453377,-1.929135106637503e-05,0.003227107704719645,0.016135538523598225,0.020365873243723902,155.0,0.5,-5.312590645178972e-18,experience
3,real_eeg_ridge,Z_masked100,4994,2555,32,16,0.0025087998210437945,0.0009937122376868501,-0.00550651155810481,-0.007797498255968094,-0.7955177008851408,0.003913894324853229,0.018395303326810174,0.02174090519663898,160.0,0.5020616464498573,0.004982606161255753,experience
3,shifted_null_ridge,Z_masked100,4994,2555,32,16,-0.007514576835092157,-0.0021678078919649124,0.0020502460337672957,-0.0011601044097915292,-0.23465806722161453,0.0035225048923679062,0.015655577299412915,0.020269429248628602,160.0,0.5017773149650789,-0.0010826660432711344,experience
3,time_only_ridge,Z_masked100,4994,2555,32,16,0.05720855696563376,0.04675728268921375,0.07071587061062395,0.09943234175443649,-0.010784037630533927,0.0031311154598825833,0.02309197651663405,0.02402852015215427,141.0,0.5473474875258166,0.07885832839303607,experience
3,train_mean,Z_masked100,4994,2555,32,16,4.359251596061401e-10,6.25089147110458e-10,-0.0048889599824114656,-0.006607347633689642,-3.06074185232319e-05,0.0031311154598825833,0.015655577299412915,0.019853440157832077,160.0,0.5,1.1384122811097797e-18,experience
3,time_residual_eeg_ridge,Z_masked100_time_resid,4994,2555,32,16,-0.001356774679152295,-0.0022765914909541607,-0.0016142410803800394,-0.00785842165350914,-0.6626430055298278,0.0031311154598825833,0.015264187866927592,0.019544241124110774,158.0,0.5023915444368203,0.0015808388899493661,experience
3,time_residual_shifted_null,Z_masked100_time_resid,4994,2555,32,16,-0.00703506365607609,-0.0030085088219493628,-0.0028196272378231066,-0.0044058505445718765,-0.30578508654444425,0.0023483365949119373,0.01487279843444227,0.01826105378566209,163.0,0.4939262551169172,-0.008491809869771891,experience
3,time_residual_mean,Z_masked100_time_resid,4994,2555,32,16,-1.632303403553692e-09,-2.3605220000888494e-09,0.0028766001191731986,0.010471311397850513,-3.134309624797105e-05,0.0031311154598825833,0.015655577299412915,0.019853440157832077,160.0,0.5,9.75781955236954e-19,experience
1,real_eeg_ridge,Z_masked76,3377,1842,32,16,0.0032279279721478815,0.003720026114024222,-0.0019820402095190514,0.0030384850688278675,-2.0419004597074726,0.003257328990228013,0.017915309446254073,0.020828994568518704,150.0,0.5078541369497491,0.007853658086059727,xp2
1,shifted_null_ridge,Z_masked76,3377,1842,32,16,-0.0021809672107337974,-0.002658877696376294,0.00689591905506933,-0.001655162894167006,-2.6335194041308894,0.003257328990228013,0.015743756786102063,0.0202155086138264,153.0,0.49925308523699025,-0.0026243527902838105,xp2
