fold,method,target_mode,n_train,n_test,y_dim,context_steps,target_corr_mean,target_corr_median,row_corr_mean,row_corr_median,r2,retrieval_top1,retrieval_top5,retrieval_mrr,retrieval_median_rank,retrieval_rank_percentile_mean,diag_minus_offdiag,dataset_name,mode,lag
1,time_only_ridge,Z,11625,5376,32,16,0.008867771169207117,0.007916253060102463,0.007656195274128393,0.01172167481854558,5.643245032083133e-05,0.00427827380952381,0.021205357142857144,0.024624487555329116,124.0,0.5070290616246499,0.009983731764799917,affective,tf,8
1,time_residual_eeg_ridge,Z_time_resid,11625,5376,32,16,0.00533453300340625,0.004249511286616325,0.01873032930627227,0.01938072219491005,-0.09019809554145919,0.006696428571428571,0.025111607142857144,0.027698443888961484,125.0,0.512593370681606,0.01774272521329854,affective,tf,8
1,time_residual_shifted_null,Z_time_resid,11625,5376,32,16,-0.002518340918868489,-0.0018600563489599153,-0.0023083293656131197,-0.006421245401725173,-0.08693559708967902,0.00427827380952381,0.018415178571428572,0.023769524245900953,130.0,0.4974986869747899,-0.0027189498295509254,affective,tf,8
2,real_eeg_ridge,Z,11655,5376,32,16,0.0014681942029710626,0.00021521448798011988,0.01777427416517899,0.01640142686665058,-0.08053177485954066,0.004092261904761905,0.017485119047619048,0.023796579129988234,125.0,0.5102248190943044,0.017365927628687237,affective,tf,8
2,shifted_null_ridge,Z,11655,5376,32,16,-0.006773205552235595,-0.006589111173525453,0.0006872909807004221,0.00853020278736949,-0.10121456551161279,0.003720238095238095,0.018973214285714284,0.023003080161676886,126.5,0.4993847017973856,-0.0011040984512930804,affective,tf,8
2,time_only_ridge,Z,11655,5376,32,16,0.004991061294276733,0.004992099944502115,0.002510094009505251,-0.006622915156185627,-0.00019953481624179759,0.0033482142857142855,0.01953125,0.02294157156804741,131.0,0.4978305905695611,-0.00020171083958751016,affective,tf,8
2,time_residual_eeg_ridge,Z_time_resid,11655,5376,32,16,0.0015716046909801662,0.00040030237869359553,0.017864474707448067,0.01644064486026764,-0.08014223620534233,0.003720238095238095,0.01804315476190476,0.023913118359261482,125.0,0.5104487628384687,0.01756144947366012,affective,tf,8
2,time_residual_shifted_null,Z_time_resid,11655,5376,32,16,0.0007185534286691109,-0.00011624037870205939,-0.003059809589471808,0.0035781743936240673,-0.09812803762406097,0.004650297619047619,0.01804315476190476,0.024278371934150795,128.0,0.4982296043417367,-0.0033061247273568997,affective,tf,8
3,real_eeg_ridge,Z,11520,5376,32,16,0.0009686219782452099,8.3093938883394e-05,0.019048780667446863,0.018404362723231316,-0.08418482953677953,0.003720238095238095,0.018973214285714284,0.024436678574924257,124.0,0.5103772759103642,0.018790468137867507,affective,tf,8
3,shifted_null_ridge,Z,11520,5376,32,16,-0.0025849167213891633,-0.0021339297527447343,-0.009333302338041147,-0.00951709458604455,-0.10011569521425079,0.0033482142857142855,0.017857142857142856,0.02286205995744193,130.0,0.49422560690943046,-0.008786283091641003,affective,tf,8
