context_steps,target_pca_dim,dataset_name,target,status,reasons,real_rank_pct,shifted_rank_pct,time_rank_pct,mean_rank_pct,real_minus_shifted,real_minus_time,real_diag_minus_offdiag,real_row_corr,real_target_corr,residual_status,residual_reasons,residual_rank_pct,residual_shifted_rank_pct,residual_minus_shifted,residual_diag_minus_offdiag,residual_row_corr,n_samples,n_runs,n_subjects,target_dim
16,32,xp2,Z_masked76,pass,,0.5572638821590776,0.5139952983277539,0.5219550505754832,0.5,0.0432685838313237,0.0353088315835944,0.0715066958675996,0.0744993652045412,0.0708829779553828,pass,,0.5492082062580486,0.5143313193984635,0.034876886859585,0.0641289900829515,0.0745123381636636,5474,17,17,76
16,32,affective,Z_masked100,pass,,0.5264305895969499,0.4951140873015873,0.5080041044195457,0.5,0.0313165022953625,0.0184264851774041,0.0413894089046622,0.0438102815875583,0.0243399637527848,pass,,0.5242540071584191,0.5000958022097728,0.0241582049486462,0.0387175622965492,0.0399920910650726,19506,21,21,100
16,32,experience,Z_masked100,time_dominated,time_beats_real,0.5599529909735456,0.4925821588633403,0.5913679199622373,0.5,0.0673708321102052,-0.0314149289886916,0.1106633763951084,0.0920193503901498,0.0451901767958891,pass,,0.5419397304927939,0.4990635198069324,0.0428762106858614,0.081259550401243,0.0679047852653929,7909,24,24,100
16,32,speeded,Z_masked100,time_dominated,rank<0.52|diag<0.02|time_beats_real,0.5046433429597622,0.4944097231111217,0.5087336311526589,0.5,0.0102336198486405,-0.0040902881928966,0.0037658211765356,0.0142135095988515,0.0095207649512,confounded,rank<0.52|diag<0.02|shifted_close,0.5049558906639161,0.4977315079949802,0.0072243826689358,0.0044826390695057,0.0143647324893385,6883,19,19,100
16,32,natview,Z_masked100,time_dominated,rank<0.52|diag<0.02|shifted_close|time_beats_real,0.4935802055398541,0.501703599551473,0.5041588542077248,0.5,-0.0081233940116189,-0.0105786486678706,-0.0012807983764906,-0.0022271603839546,-0.0026763772678653,confounded,rank<0.52|diag<0.02|shifted_close,0.4952215039200675,0.5121679106353701,-0.0169464067153026,-0.0011675582172874,-0.0020103918171202,5811,22,22,100
16,32,gradcpt,Z_masked100,time_dominated,rank<0.52|diag<0.02|shifted_close|time_beats_real,0.4892938293011636,0.5002205663481837,0.4979460222499799,0.5000000000000001,-0.01092673704702,-0.0086521929488162,-0.0148329467687341,-0.0479929213499972,-0.0250191565925585,confounded,rank<0.52|diag<0.02|shifted_close,0.489203700507917,0.5117708432250541,-0.022567142717137,-0.0044052133111489,-0.0308743261377355,3113,28,28,100
16,64,sleep,Z_masked100,confounded,rank<0.52|shifted_close,0.5154721821388488,0.5060338003046336,0.5008317299983966,0.5,0.0094383818342151,0.0146404521404521,0.0295629310965122,0.0319954246745904,0.010951505210869,fail,rank<0.52,0.5169151835818503,0.4985081469456469,0.0184070366362033,0.0298876237248777,0.0305695481311665,9273,33,33,100
16,64,natview_neurostorm,Z_neurostorm,fail,diag<0.02,0.5213970577691202,0.4919986915011909,0.5124243184863948,0.5,0.0293983662679292,0.0089727392827253,0.0193680830184916,0.0224524269908898,0.006092326429704,fail,diag<0.02,0.5201632839409277,0.5029144647810226,0.017248819159905,0.018265859823055,0.0206377838136453,5811,22,22,2304
16,64,xp2,Z_masked76,pass,,0.5612028773650654,0.5142106543285655,0.5215536744672356,0.5,0.0469922230364998,0.0396492028978298,0.0690207073218777,0.0738315520828657,0.0609111075621816,pass,,0.5529028320598882,0.5158869466509838,0.0370158854089044,0.0622359035829121,0.0727034222383776,5474,17,17,76
16,64,affective,Z_masked100,pass,,0.5274239904295052,0.4951354847494553,0.5086694921023965,0.5,0.0322885056800498,0.0187544983271086,0.0400033962764093,0.0420710582757446,0.0191457844463987,pass,,0.5252302657173981,0.4998751410286337,0.0253551246887643,0.0374243658734498,0.038455079256528,19506,21,21,100
16,64,experience,Z_masked100,time_dominated,time_beats_real,0.5609803916781654,0.4923853500549178,0.5913789838075546,0.5,0.0685950416232475,-0.0303985921293892,0.1050858780104539,0.0877111283240602,0.0361741252747075,pass,,0.5437197985666004,0.4994560370373504,0.0442637615292499,0.0778931638042962,0.0653127861104732,7909,24,24,100
16,64,speeded,Z_masked100,time_dominated,rank<0.52|diag<0.02|time_beats_real,0.5046700550087333,0.4938689344611818,0.5092578361229436,0.5,0.0108011205475515,-0.0045877811142103,0.0035691188323143,0.0130166251927204,0.0077669902885493,confounded,rank<0.52|diag<0.02|shifted_close,0.5048528527633535,0.4973746780662096,0.0074781746971437,0.0040800338463587,0.0131724026866016,6883,19,19,100
16,64,natview,Z_masked100,time_dominated,rank<0.52|diag<0.02|shifted_close|time_beats_real,0.4945074201945438,0.5016285074113044,0.5046880046823072,0.5,-0.0071210872167605,-0.0101805844877634,-0.0001536199892068,-0.0014777715957595,0.0066726076654504,confounded,rank<0.52|diag<0.02|shifted_close,0.4959099532299336,0.5120887780491264,-0.0161788248191928,-5.403350387411682e-05,-0.0012871366275701,5811,22,22,100
16,64,gradcpt,Z_masked100,time_dominated,rank<0.52|diag<0.02|shifted_close|time_beats_real,0.4897380816940469,0.4994343267360122,0.4977119879436665,0.5,-0.0096962450419652,-0.0079739062496195,-0.0130440634028092,-0.0431090119840656,-0.0148375891579538,confounded,rank<0.52|diag<0.02|shifted_close,0.4910004174306119,0.51364321278826,-0.022642795357648,-0.0035894485148511,-0.0282949022636939,3113,28,28,100
32,16,sleep,Z_masked100,confounded,rank<0.52|shifted_close,0.5162851990600495,0.507297138689411,0.4956318276624877,0.5,0.0089880603706385,0.0206533713975617,0.0333317949307133,0.0305601454098387,0.0133013413590864,fail,rank<0.52,0.514229484936909,0.502651662116104,0.0115778228208049,0.0287009683613057,0.0296115144507016,9273,33,33,100
32,16,natview_neurostorm,Z_neurostorm,fail,rank<0.52,0.5168236884066908,0.4990523605214583,0.5071597381793325,0.5,0.0177713278852324,0.0096639502273583,0.0212542375628349,0.01983285700941,0.0110613508980653,fail,rank<0.52,0.517176359091538,0.5018158933708187,0.0153604657207193,0.0207900510957229,0.0203887097694031,5811,22,22,2304
32,16,gradcpt,Z_masked100,pass,,0.5665832315832317,0.4892539173789174,0.4871006308506309,0.5,0.0773293142043142,0.0794826007326007,0.0783135781354405,0.0280437281009,0.034646281429256,pass,,0.5641676841676843,0.5047496947496948,0.0594179894179894,0.0335899901763104,-0.1319107635085507,3113,28,28,100
