fold,method,target_mode,n_train,n_test,test_subjects,x_dim,y_dim,n_components,latent_corr_mean,latent_corr_median,row_corr_mean,row_corr_median,r2,retrieval_top1,retrieval_top5,retrieval_mrr,retrieval_median_rank,retrieval_rank_percentile_mean,diag_minus_offdiag
2,ridge,real,3032,1945,within_run_block_2,64,16,0,-0.032610656271572225,-0.030137256719172,-0.020639050213181936,-0.020366761833429337,-0.013085810610898418,0.012853470437017995,0.056555269922879174,0.05800806936814438,45.0,0.49452806404211724,-0.0036015324814579943
2,pls,real,3032,1945,within_run_block_2,64,16,8,-0.025684088439447805,-0.021470768377184868,-0.013749178516273603,-0.01855352148413658,-0.02475398273635565,0.015938303341902313,0.056555269922879174,0.06091443417363655,44.0,0.49824957511272516,0.0009562421948457324
2,cca_shared,real,3032,1945,within_run_block_2,64,16,8,-0.03885443625040352,-0.0408482626080513,-0.03544596160586117,-0.04341878369450569,-1.1176491346137016,0.013881748071979434,0.05758354755784062,0.05815896101704939,46.0,0.4901948685663876,-0.009180162414984056
2,ridge,shifted_null,3032,1945,within_run_block_2,64,16,0,0.0161742627969943,0.013514567166566849,0.025343950945587116,0.03127696365118027,-0.0032498464269987704,0.012853470437017995,0.055012853470437016,0.05769108257007391,43.0,0.510795263643997,0.015463055797521719
2,pls,shifted_null,3032,1945,within_run_block_2,64,16,8,0.011203546662727604,0.004765227087773383,0.02067515977506004,0.016056464985013008,-0.009609031294322223,0.008740359897172237,0.05038560411311054,0.055193206343167295,44.0,0.5080552750895586,0.012838030888612182
2,cca_shared,shifted_null,3032,1945,within_run_block_2,64,16,8,0.011547506815986708,0.013889891561120749,-0.0029434919376028616,-0.0006036516861058772,-0.9785256145511201,0.009254498714652956,0.05295629820051414,0.05401446582547008,45.0,0.4916778949428576,-0.01056094004954087
3,train_mean,real,2931,1958,within_run_block_3,64,16,0,nan,nan,nan,nan,-0.002845255984285311,0.0,0.0,0.022219344839652436,46.5,0.5,0.0
3,time_ridge,real,2931,1958,within_run_block_3,15,16,0,-0.0011068411258747801,-0.00828745390754193,0.00011977402638609258,0.010303616989403963,-0.008113441582628944,0.010725229826353423,0.05669050051072523,0.054802040169228704,45.0,0.4961460898247028,0.001520382449293227
3,ridge,real,2931,1958,within_run_block_3,64,16,0,-0.042224858480039984,-0.03638217784464359,-0.031224037661364962,-0.027472558431327343,-0.0175488545014999,0.009193054136874362,0.059244126659857,0.05661347249000722,44.5,0.5040406183758955,0.004623971995780109
3,pls,real,2931,1958,within_run_block_3,64,16,8,-0.02386295993164822,-0.021059655584394932,-0.0199100803690157,-0.011654244270175695,-0.02490542207333646,0.011235955056179775,0.05720122574055159,0.05711367485778932,43.0,0.5104959143150852,0.009253941898463906
3,cca_shared,real,2931,1958,within_run_block_3,64,16,8,-0.03357675462029874,-0.040154509246349335,-0.02805310107986797,-0.033794721588492393,-1.017668476478443,0.010214504596527068,0.054647599591419814,0.05675390110166093,44.0,0.5040832628148575,0.005525308854804416
3,ridge,shifted_null,2931,1958,within_run_block_3,64,16,0,0.00533405265014153,0.002488347119651735,0.0017024432665263412,0.011214982252568007,-0.01060681693373522,0.008682328907048007,0.05720122574055159,0.055235078104323376,45.0,0.4976538849950354,-0.007163422328301858
3,pls,shifted_null,2931,1958,within_run_block_3,64,16,8,0.006077540965634398,0.009583430364727974,-0.0013294659980783948,0.0051471923943609,-0.022392207754780902,0.01174668028600613,0.054136874361593465,0.055489275137722074,46.0,0.4956845154806972,-0.008576683582142315
3,cca_shared,shifted_null,2931,1958,within_run_block_3,64,16,8,0.005256514632492326,0.008610906603280455,0.008269124195377266,0.008309582248330116,-0.9638463321820061,0.013278855975485188,0.06077630234933606,0.060770703236638086,45.0,0.5038318264762646,0.003970903617135692
