path,subject,run,n_windows
/home/sudaxin/projects/paired_data/data/pooled_raw_schaefer100_mni_proxy_full_mask_min80/run_cache/Affective_music_listening_OpenNeuro_ds002725/sub-11_ses-nosession_classicalMusic_classicalMusic_run-norun.npz,sub-11,sub-11_ses-nosession_classicalMusic_classicalMusic_run-norun,929
/home/sudaxin/projects/paired_data/data/pooled_raw_schaefer100_mni_proxy_full_mask_min80/run_cache/Affective_music_listening_OpenNeuro_ds002725/sub-12_ses-nosession_classicalMusic_classicalMusic_run-norun.npz,sub-12,sub-12_ses-nosession_classicalMusic_classicalMusic_run-norun,929
/home/sudaxin/projects/paired_data/data/pooled_raw_schaefer100_mni_proxy_full_mask_min80/run_cache/Affective_music_listening_OpenNeuro_ds002725/sub-13_ses-nosession_classicalMusic_classicalMusic_run-norun.npz,sub-13,sub-13_ses-nosession_classicalMusic_classicalMusic_run-norun,929
/home/sudaxin/projects/paired_data/data/pooled_raw_schaefer100_mni_proxy_full_mask_min80/run_cache/Affective_music_listening_OpenNeuro_ds002725/sub-14_ses-nosession_classicalMusic_classicalMusic_run-norun.npz,sub-14,sub-14_ses-nosession_classicalMusic_classicalMusic_run-norun,929
/home/sudaxin/projects/paired_data/data/pooled_raw_schaefer100_mni_proxy_full_mask_min80/run_cache/Affective_music_listening_OpenNeuro_ds002725/sub-15_ses-nosession_classicalMusic_classicalMusic_run-norun.npz,sub-15,sub-15_ses-nosession_classicalMusic_classicalMusic_run-norun,929
/home/sudaxin/projects/paired_data/data/pooled_raw_schaefer100_mni_proxy_full_mask_min80/run_cache/Affective_music_listening_OpenNeuro_ds002725/sub-16_ses-nosession_classicalMusic_classicalMusic_run-norun.npz,sub-16,sub-16_ses-nosession_classicalMusic_classicalMusic_run-norun,929
/home/sudaxin/projects/paired_data/data/pooled_raw_schaefer100_mni_proxy_full_mask_min80/run_cache/Affective_music_listening_OpenNeuro_ds002725/sub-17_ses-nosession_classicalMusic_classicalMusic_run-norun.npz,sub-17,sub-17_ses-nosession_classicalMusic_classicalMusic_run-norun,929
/home/sudaxin/projects/paired_data/data/pooled_raw_schaefer100_mni_proxy_full_mask_min80/run_cache/Affective_music_listening_OpenNeuro_ds002725/sub-18_ses-nosession_classicalMusic_classicalMusic_run-norun.npz,sub-18,sub-18_ses-nosession_classicalMusic_classicalMusic_run-norun,930
/home/sudaxin/projects/paired_data/data/pooled_raw_schaefer100_mni_proxy_full_mask_min80/run_cache/Affective_music_listening_OpenNeuro_ds002725/sub-19_ses-nosession_classicalMusic_classicalMusic_run-norun.npz,sub-19,sub-19_ses-nosession_classicalMusic_classicalMusic_run-norun,929
/home/sudaxin/projects/paired_data/data/pooled_raw_schaefer100_mni_proxy_full_mask_min80/run_cache/Affective_music_listening_OpenNeuro_ds002725/sub-20_ses-nosession_classicalMusic_classicalMusic_run-norun.npz,sub-20,sub-20_ses-nosession_classicalMusic_classicalMusic_run-norun,930
/home/sudaxin/projects/paired_data/data/pooled_raw_schaefer100_mni_proxy_full_mask_min80/run_cache/Affective_music_listening_OpenNeuro_ds002725/sub-21_ses-nosession_classicalMusic_classicalMusic_run-norun.npz,sub-21,sub-21_ses-nosession_classicalMusic_classicalMusic_run-norun,929
