target,model,split,fold,n_train,n_test,corr,r2,y_std_train,y_std_test
ft_valence_mean,summary_bandpower,within_run_block,1,13245,5253,0.008191555398263252,-0.0021914243698120117,0.540272057056427,0.49188485741615295
ft_valence_mean,summary_bandpower,within_run_block,2,13377,5161,0.011133647487869536,-0.00035774707794189453,0.5064022541046143,0.5715609192848206
ft_valence_mean,summary_bandpower,within_run_block,3,13405,5125,0.0377735061615219,-5.6743621826171875e-05,0.5502520203590393,0.46159297227859497
ft_valence_mean,summary_bandpower,subject_heldout,1,13007,6499,0.008771746127426712,-0.002447962760925293,0.560000479221344,0.44989362359046936
ft_valence_mean,summary_bandpower,subject_heldout,2,13001,6505,0.0341779270636603,0.0007301568984985352,0.5293617844581604,0.5188854932785034
ft_valence_mean,summary_bandpower,subject_heldout,3,13004,6502,0.02134156256096401,0.00033605098724365234,0.4856705963611603,0.598307728767395
ft_valence_mean,spatial_bandpower,within_run_block,1,13245,5253,0.031051981274367303,-0.0019605159759521484,0.540272057056427,0.49188485741615295
ft_valence_mean,spatial_bandpower,within_run_block,2,13377,5161,0.017640200489422202,-0.002048015594482422,0.5064022541046143,0.5715609192848206
ft_valence_mean,spatial_bandpower,within_run_block,3,13405,5125,0.02754382550656239,-0.0010811090469360352,0.5502520203590393,0.46159297227859497
ft_valence_mean,spatial_bandpower,subject_heldout,1,13007,6499,0.007638884606329163,-0.008824825286865234,0.560000479221344,0.44989362359046936
ft_valence_mean,spatial_bandpower,subject_heldout,2,13001,6505,0.0050665416538007,-0.008953452110290527,0.5293617844581604,0.5188854932785034
ft_valence_mean,spatial_bandpower,subject_heldout,3,13004,6502,0.004314451542249097,-0.007601618766784668,0.4856705963611603,0.598307728767395
ft_arousal_mean,time_ridge,within_run_block,1,13245,5253,0.007239996834437372,-0.0011763572692871094,0.5879939794540405,0.5705211162567139
ft_arousal_mean,time_ridge,within_run_block,2,13377,5161,0.009676604694586794,-0.00026679039001464844,0.564969003200531,0.6271829605102539
ft_arousal_mean,time_ridge,within_run_block,3,13405,5125,0.03868998799735601,0.00135880708694458,0.5937156677246094,0.5649300217628479
ft_arousal_mean,time_ridge,subject_heldout,1,13007,6499,-0.014749833177600147,-0.0038689374923706055,0.6190655827522278,0.5062140226364136
ft_arousal_mean,time_ridge,subject_heldout,2,13001,6505,0.007807797588411356,-0.0011663436889648438,0.5773419737815857,0.5966845750808716
ft_arousal_mean,time_ridge,subject_heldout,3,13004,6502,-0.014592254712800401,-0.0017375946044921875,0.5533361434936523,0.6405574679374695
ft_arousal_mean,summary_bandpower,within_run_block,1,13245,5253,0.026592055212182244,-0.001391291618347168,0.5879939794540405,0.5705211162567139
ft_arousal_mean,summary_bandpower,within_run_block,2,13377,5161,0.041514246926256076,0.0017162561416625977,0.564969003200531,0.6271829605102539
ft_arousal_mean,summary_bandpower,within_run_block,3,13405,5125,0.028798549978955583,8.976459503173828e-05,0.5937156677246094,0.5649300217628479
ft_arousal_mean,summary_bandpower,subject_heldout,1,13007,6499,0.03554052594993467,-0.0015888214111328125,0.6190655827522278,0.5062140226364136
ft_arousal_mean,summary_bandpower,subject_heldout,2,13001,6505,0.03089106948667614,-0.0034914016723632812,0.5773419737815857,0.5966845750808716
ft_arousal_mean,summary_bandpower,subject_heldout,3,13004,6502,0.03835074043516182,0.0010758042335510254,0.5533361434936523,0.6405574679374695
ft_arousal_mean,spatial_bandpower,within_run_block,1,13245,5253,0.039965767880467414,0.0011796355247497559,0.5879939794540405,0.5705211162567139
ft_arousal_mean,spatial_bandpower,within_run_block,2,13377,5161,0.021904253172808277,-0.0013036727905273438,0.564969003200531,0.6271829605102539
ft_arousal_mean,spatial_bandpower,within_run_block,3,13405,5125,0.024639301584991943,-0.0027028322219848633,0.5937156677246094,0.5649300217628479
ft_arousal_mean,spatial_bandpower,subject_heldout,1,13007,6499,0.0005974046441205009,-0.031552910804748535,0.6190655827522278,0.5062140226364136
ft_arousal_mean,spatial_bandpower,subject_heldout,2,13001,6505,0.016642497120209793,-0.007022500038146973,0.5773419737815857,0.5966845750808716
ft_arousal_mean,spatial_bandpower,subject_heldout,3,13004,6502,0.020999221994428836,-0.020460009574890137,0.5533361434936523,0.6405574679374695
