fold,method,target_mode,n_train,n_test,y_dim,context_steps,target_corr_mean,target_corr_median,row_corr_mean,row_corr_median,r2,retrieval_top1,retrieval_top5,retrieval_mrr,retrieval_median_rank,retrieval_rank_percentile_mean,diag_minus_offdiag,dataset_name,mode,lag
2,time_residual_shifted_null,Z_time_resid,3807,969,32,16,0.0035775126725638984,0.005826312582939863,0.01156273966796104,0.01796077750623226,-0.25016988277049945,0.016511867905056758,0.10526315789473684,0.08497594923198935,28.0,0.5129490392648288,0.014396568001495727,xp2,tf,-4
3,real_eeg_ridge,Z,3724,1037,32,16,0.05906286799290683,0.04976786486804485,0.06681006713498376,0.06293532252311707,-0.20775011480417138,0.023143683702989394,0.12054001928640308,0.09738649900644264,27.0,0.5590185230661521,0.0628241592477212,xp2,tf,-4
3,shifted_null_ridge,Z,3724,1037,32,16,-0.00976559706577973,-0.010738399811089039,-0.011635702175532558,-0.00608460558578372,-0.34101362180745376,0.015429122468659595,0.06846673095467695,0.06813305117791298,33.0,0.47545808534865597,-0.02223266441583626,xp2,tf,-4
3,time_only_ridge,Z,3724,1037,32,16,0.0046586549215135165,0.0038237111875787377,0.0567507669655202,0.07027023285627365,7.891678756599685e-05,0.020250723240115717,0.08293153326904533,0.08511447660976357,28.0,0.5324088770694783,0.036295636226036605,xp2,tf,-4
3,time_residual_eeg_ridge,Z_time_resid,3724,1037,32,16,0.05876752588665113,0.04599308595061302,0.06900288684072697,0.06936029344797134,-0.19883217952727406,0.023143683702989394,0.10607521697203472,0.09270848263194838,26.0,0.5501117054091772,0.0588953533599982,xp2,tf,-4
3,time_residual_shifted_null,Z_time_resid,3724,1037,32,16,-0.018053724174819763,-0.013456842163577676,-0.0043536700356412985,-0.010344930924475193,-0.3458398284359956,0.017357762777242044,0.08389585342333655,0.07787357963860245,32.0,0.4907271532989533,-0.008195114133292472,xp2,tf,-4
1,real_eeg_ridge,Z,3692,1056,32,16,0.05370162236067699,0.05115788243710995,0.06138654414947572,0.06135554052889347,-0.26018388022203265,0.021780303030303032,0.1259469696969697,0.09352420965411314,28.0,0.5417648496105943,0.050022955453873905,xp2,tf,-3
1,shifted_null_ridge,Z,3692,1056,32,16,0.022886985174409347,0.020858519710600376,0.016544573825216725,0.013083649799227715,-0.286827624920702,0.021780303030303032,0.09090909090909091,0.08283187755641742,31.0,0.5180829316467613,0.020236419608781354,xp2,tf,-3
1,time_only_ridge,Z,3692,1056,32,16,0.015983161277290492,0.012453255709260702,0.04235002013782915,0.052054399624466896,-0.0013426149180382208,0.022727272727272728,0.0946969696969697,0.08609594304535712,30.0,0.5207450646280434,0.031490059829333776,xp2,tf,-3
1,time_residual_eeg_ridge,Z_time_resid,3692,1056,32,16,0.05343528641242301,0.056260719895362854,0.051375415472152366,0.058482324704527855,-0.24938722584259243,0.022727272727272728,0.10037878787878787,0.08917197838104116,28.0,0.5345843823237441,0.042012565076087804,xp2,tf,-3
1,time_residual_shifted_null,Z_time_resid,3692,1056,32,16,0.01129554030194413,0.011265716049820185,0.006483696396289264,0.012549072504043579,-0.28719408413013237,0.017045454545454544,0.08522727272727272,0.07782762437546446,30.0,0.5112996735337162,0.009690556959800308,xp2,tf,-3
