dataset_name,mode,lag,real_rank_pct,shifted_rank_pct,time_rank_pct,real_minus_shifted,real_minus_time,real_diag_minus_offdiag,residual_rank_pct,residual_shifted_rank_pct,residual_minus_shifted,residual_diag_minus_offdiag
affective,tf,2,0.5177674194677871,0.49906313219732334,0.506217903828198,0.018704287270463804,0.01154951563958917,0.02564827884776162,0.5170384473233738,0.500449467981637,0.016588979341736754,0.02506332108749434
affective,tf,3,0.5144345238095238,0.497062470821662,0.5073405403828198,0.01737205298786182,0.007093983426703976,0.021907916530597524,0.5141151425848117,0.5028363776065982,0.011278764978213562,0.021391563784631473
affective,tf,4,0.5118308434484905,0.4953246576408341,0.506290971249611,0.016506185807656393,0.005539872198879525,0.019241898675925215,0.5118873764783691,0.49767181178026765,0.01421556469810148,0.019254354394783065
affective,tf,5,0.5102843915343915,0.4942809241752257,0.5051628637566137,0.016003467359165857,0.005121527777777857,0.018102466053347723,0.5110092300809213,0.4960876711795829,0.014921558901338339,0.018866172525465828
affective,tf,6,0.5078769354964208,0.4935238678804856,0.5044667172424525,0.014353067615935189,0.0034102182539682557,0.01520799742451274,0.509150813103019,0.4944629240585123,0.014687889044506741,0.017040442824330673
affective,tf,7,0.5076920177793339,0.49684679427326484,0.5047664030890133,0.01084522350606909,0.0029256146903205993,0.01623416180807506,0.5095259978991596,0.49448116051976343,0.015044837379396214,0.018583197407021728
affective,tf,8,0.5108728213507625,0.49712532582477437,0.5048800770308123,0.01374749552598814,0.005992744319950227,0.01777889014129771,0.5112677015250545,0.4981885115157174,0.013079190009337105,0.018614810601818747
experience,tf,-8,0.5426484620551834,0.5001350900261307,0.5933267833996809,0.0425133720290527,-0.05067832134449757,0.06357443609637936,0.5299647788017616,0.49955453047277537,0.030410248328986256,0.040775023720418725
experience,tf,-7,0.541987553258746,0.5048294052957162,0.5928180990826627,0.03715814796302985,-0.05083054582391666,0.06020136936353223,0.5285478156600988,0.49819613222515885,0.030351683434939936,0.03819161089343693
experience,tf,-6,0.541892331068449,0.503249277316623,0.5912606303267852,0.038643053751826084,-0.04936829925833619,0.060769614967947104,0.5330395526386315,0.49582411336043775,0.03721543927819371,0.04407631028643458
